id,UTM_medium,UTM_source,UTM_campaign,UTM_term,UTM_content,URL,Final_updated_URL,Notes,Last_updated_on
1,cpc,google,winter_sale,cozy_sweaters,text_ad,https://www.example.com,https://www.example.com?utm_medium=cpc&utm_source=google&utm_campaign=winter_sale&utm_term=cozy_sweaters&utm_content=text_ad,Winter collection launch,2024-10-21T22:54:40+05:30
2,social,instagram,holiday_lookbook,festive_outfits,carousel_post,https://www.example.com,https://www.example.com?utm_medium=social&utm_source=instagram&utm_campaign=holiday_lookbook&utm_term=festive_outfits&utm_content=carousel_post,Collaboration with fashion influencer,2024-10-29T04:09:55+05:30
3,email,newsletter,black_friday,early_access,exclusive_deals,https://www.example.com,https://www.example.com?utm_medium=email&utm_source=newsletter&utm_campaign=black_friday&utm_term=early_access&utm_content=exclusive_deals,Pre-Black Friday email campaign,2024-11-04T00:44:33+05:30
4,organic,blog,winter_trends,cold_weather_fashion,style_guide,https://www.example.com,https://www.example.com?utm_medium=organic&utm_source=blog&utm_campaign=winter_trends&utm_term=cold_weather_fashion&utm_content=style_guide,SEO-optimized winter fashion blog post,2024-11-11T06:20:01+05:30
5,display,youtube,gift_guide,perfect_presents,pre_roll_video,https://www.example.com,https://www.example.com?utm_medium=display&utm_source=youtube&utm_campaign=gift_guide&utm_term=perfect_presents&utm_content=pre_roll_video,Holiday gift guide video campaign,2024-11-16T21:34:47+05:30
6,ppc,bing,clearance_sale,winter_accessories,product_listing,https://www.example.com,https://www.example.com?utm_medium=ppc&utm_source=bing&utm_campaign=clearance_sale&utm_term=winter_accessories&utm_content=product_listing,End-of-season clearance promotion,2024-11-22T03:05:14+05:30
7,social,facebook,user_stories,winter_looks,ugc_album,https://www.example.com,https://www.example.com?utm_medium=social&utm_source=facebook&utm_campaign=user_stories&utm_term=winter_looks&utm_content=ugc_album,Customer winter fashion showcase,2024-11-26T23:49:36+05:30
8,affiliate,winterfashionblog.com,cozy_essentials,loungewear,banner_300x250,https://www.example.com,https://www.example.com?utm_medium=affiliate&utm_source=winterfashionblog.com&utm_campaign=cozy_essentials&utm_term=loungewear&utm_content=banner_300x250,Partnership with winter lifestyle blogger,2024-12-02T05:14:52+05:30
9,referral,loyal_customer,friend_discount,new_customer_offer,referral_code,https://www.example.com,https://www.example.com?utm_medium=referral&utm_source=loyal_customer&utm_campaign=friend_discount&utm_term=new_customer_offer&utm_content=referral_code,Customer referral program,2024-12-06T22:40:05+05:30
10,push,mobile_app,flash_sale,24hr_deals,push_notification,https://www.example.com,https://www.example.com?utm_medium=push&utm_source=mobile_app&utm_campaign=flash_sale&utm_term=24hr_deals&utm_content=push_notification,Limited-time flash sale alert,2024-12-12T01:54:41+05:30
11,sms,loyalty_program,vip_preview,exclusive_collection,text_message,https://www.example.com,https://www.example.com?utm_medium=sms&utm_source=loyalty_program&utm_campaign=vip_preview&utm_term=exclusive_collection&utm_content=text_message,VIP early access to new collection,2024-12-17T03:44:29+05:30
12,print,fashion_magazine,winter_catalog,designer_collab,qr_code,https://www.example.com,https://www.example.com?utm_medium=print&utm_source=fashion_magazine&utm_campaign=winter_catalog&utm_term=designer_collab&utm_content=qr_code,QR code in print catalog for exclusive online content,2024-12-20T01:09:57+05:30
13,podcast,style_show,sponsor_segment,winter_wardrobe_tips,host_mention,https://www.example.com,https://www.example.com?utm_medium=podcast&utm_source=style_show&utm_campaign=sponsor_segment&utm_term=winter_wardrobe_tips&utm_content=host_mention,Sponsorship of popular fashion podcast,2024-12-24T05:30:10+05:30
14,retargeting,google,cart_abandonment,incomplete_purchase,dynamic_product_ad,https://www.example.com,https://www.example.com?utm_medium=retargeting&utm_source=google&utm_campaign=cart_abandonment&utm_term=incomplete_purchase&utm_content=dynamic_product_ad,Retargeting campaign for abandoned carts,2024-12-28T00:04:46+05:30
15,social,tiktok,winter_challenge,layered_looks,hashtag_challenge,https://www.example.com,https://www.example.com?utm_medium=social&utm_source=tiktok&utm_campaign=winter_challenge&utm_term=layered_looks&utm_content=hashtag_challenge,TikTok winter fashion challenge,2025-01-01T03:20:04+05:30
16,webinar,zoom,stylist_tips,winter_fashion_guide,live_qa_session,https://www.example.com,https://www.example.com?utm_medium=webinar&utm_source=zoom&utm_campaign=stylist_tips&utm_term=winter_fashion_guide&utm_content=live_qa_session,Live styling tips webinar with Q&A,2025-01-04T04:54:35+05:30
17,partnership,travel_brand,winter_getaway,vacation_outfits,co_branded_landing_page,https://www.example.com,https://www.example.com?utm_medium=partnership&utm_source=travel_brand&utm_campaign=winter_getaway&utm_term=vacation_outfits&utm_content=co_branded_landing_page,Co-marketing campaign with travel company,2025-01-06T22:44:51+05:30
18,review,fashion_review_site,customer_favorites,top_rated_coats,testimonial_gallery,https://www.example.com,https://www.example.com?utm_medium=review&utm_source=fashion_review_site&utm_campaign=customer_favorites&utm_term=top_rated_coats&utm_content=testimonial_gallery,Showcasing customer reviews of winter coats,2025-01-10T01:15:17+05:30
19,tv,local_network,holiday_special,last_minute_gifts,30sec_commercial,https://www.example.com,https://www.example.com?utm_medium=tv&utm_source=local_network&utm_campaign=holiday_special&utm_term=last_minute_gifts&utm_content=30sec_commercial,Holiday shopping TV commercial,2025-01-13T03:39:42+05:30
20,voice,smart_speaker,voice_shopping,winter_essentials,voice_app_skill,https://www.example.com,https://www.example.com?utm_medium=voice&utm_source=smart_speaker&utm_campaign=voice_shopping&utm_term=winter_essentials&utm_content=voice_app_skill,Voice-activated winter shopping guide,2025-01-16T00:00:00+05:30
